rank,gid,depth,in_deg,in_kzt,p_hidden_outgoing,cluster_id,priority_score,attention,next_request
1,100000003037476100,4,3,555000.0,0.732,3,0.309225,плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000003037476100 за следующий шаг; оценка скрытого выхода 73%.
2,100000004652395100,4,3,101528.0,0.732,1,0.2999,3 плательщиков в один день; плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000004652395100 за следующий шаг; оценка скрытого выхода 73%.
3,100000003230328100,4,3,26572.0,0.732,7,0.268933,плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000003230328100 за следующий шаг; оценка скрытого выхода 73%.
4,100000006638021100,4,2,388500.0,0.57,49,0.296929,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000006638021100 за следующий шаг; оценка скрытого выхода 57%.
172,100000002752565100,4,1,57000.0,0.287,7,0.219359,нет,Запросить исходящие переводы от gid 100000002752565100 за следующий шаг; оценка скрытого выхода 29%.
173,100000002217806100,4,1,55000.0,0.287,39,0.182558,нет,Запросить исходящие переводы от gid 100000002217806100 за следующий шаг; оценка скрытого выхода 29%.
174,100000003207060100,4,1,53000.0,0.287,1,0.217754,нет,Запросить исходящие переводы от gid 100000003207060100 за следующий шаг; оценка скрытого выхода 29%.
175,100000003097947100,4,1,52980.0,0.287,7,0.18143,нет,Запросить исходящие переводы от gid 100000003097947100 за следующий шаг; оценка скрытого выхода 29%.
176,100000007510567100,4,1,52000.0,0.287,8,0.217234,нет,Запросить исходящие переводы от gid 100000007510567100 за следующий шаг; оценка скрытого выхода 29%.
177,100000002713974100,4,1,50000.0,0.287,7,0.179392,нет,Запросить исходящие переводы от gid 100000002713974100 за следующий шаг; оценка скрытого выхода 29%.
178,100000004019056100,4,1,50000.0,0.287,14,0.215607,нет,Запросить исходящие переводы от gid 100000004019056100 за следующий шаг; оценка скрытого выхода 29%.
179,100000005189258100,4,1,50000.0,0.287,6,0.179392,нет,Запросить исходящие переводы от gid 100000005189258100 за следующий шаг; оценка скрытого выхода 29%.
180,100000007731977100,4,1,50000.0,0.287,1,0.215607,нет,Запросить исходящие переводы от gid 100000007731977100 за следующий шаг; оценка скрытого выхода 29%.
181,100000007749747100,4,1,50000.0,0.287,3,0.179392,нет,Запросить исходящие переводы от gid 100000007749747100 за следующий шаг; оценка скрытого выхода 29%.
182,100000007811950100,4,1,50000.0,0.287,27,0.179392,нет,Запросить исходящие переводы от gid 100000007811950100 за следующий шаг; оценка скрытого выхода 29%.
183,100000008308418100,4,1,50000.0,0.287,1,0.215607,нет,Запросить исходящие переводы от gid 100000008308418100 за следующий шаг; оценка скрытого выхода 29%.
184,100000002971593100,4,1,49050.0,0.287,6,0.231481,нет,Запросить исходящие переводы от gid 100000002971593100 за следующий шаг; оценка скрытого выхода 29%.
185,100000003568904100,4,1,49000.0,0.287,14,0.214306,нет,Запросить исходящие переводы от gid 100000003568904100 за следующий шаг; оценка скрытого выхода 29%.
186,100000004549591100,4,1,49000.0,0.287,39,0.17809,нет,Запросить исходящие переводы от gid 100000004549591100 за следующий шаг; оценка скрытого выхода 29%.
187,100000004261340100,4,1,48500.0,0.287,1,0.214002,нет,Запросить исходящие переводы от gid 100000004261340100 за следующий шаг; оценка скрытого выхода 29%.
188,100000006527156100,4,1,48500.0,0.287,48,0.177787,нет,Запросить исходящие переводы от gid 100000006527156100 за следующий шаг; оценка скрытого выхода 29%.
189,100000002689717100,4,1,47500.0,0.287,8,0.213699,нет,Запросить исходящие переводы от gid 100000002689717100 за следующий шаг; оценка скрытого выхода 29%.
190,100000004584730100,4,1,47000.0,0.287,46,0.176898,нет,Запросить исходящие переводы от gid 100000004584730100 за следующий шаг; оценка скрытого выхода 29%.
191,100000008628818100,4,1,46310.0,0.287,8,0.212658,нет,Запросить исходящие переводы от gid 100000008628818100 за следующий шаг; оценка скрытого выхода 29%.
192,100000004674412100,4,1,46000.0,0.287,12,0.176225,нет,Запросить исходящие переводы от gid 100000004674412100 за следующий шаг; оценка скрытого выхода 29%.
193,100000007539296100,4,1,46000.0,0.287,6,0.176225,нет,Запросить исходящие переводы от gid 100000007539296100 за следующий шаг; оценка скрытого выхода 29%.
194,100000002706810100,4,1,45000.0,0.287,19,0.17564,нет,Запросить исходящие переводы от gid 100000002706810100 за следующий шаг; оценка скрытого выхода 29%.
195,100000002896506100,4,1,45000.0,0.287,6,0.228944,нет,Запросить исходящие переводы от gid 100000002896506100 за следующий шаг; оценка скрытого выхода 29%.
196,100000003061115100,4,1,45000.0,0.287,1,0.211855,нет,Запросить исходящие переводы от gid 100000003061115100 за следующий шаг; оценка скрытого выхода 29%.
197,100000004991593100,4,1,45000.0,0.287,7,0.228944,нет,Запросить исходящие переводы от gid 100000004991593100 за следующий шаг; оценка скрытого выхода 29%.
198,100000006381453100,4,1,45000.0,0.287,3,0.17564,нет,Запросить исходящие переводы от gid 100000006381453100 за следующий шаг; оценка скрытого выхода 29%.
199,100000007153161100,4,1,44997.0,0.287,1,0.21153,нет,Запросить исходящие переводы от gid 100000007153161100 за следующий шаг; оценка скрытого выхода 29%.
200,100000008251939100,4,1,44360.0,0.287,8,0.211227,нет,Запросить исходящие переводы от gid 100000008251939100 за следующий шаг; оценка скрытого выхода 29%.
201,100000003232675100,4,1,44000.0,0.287,14,0.211096,нет,Запросить исходящие переводы от gid 100000003232675100 за следующий шаг; оценка скрытого выхода 29%.
202,100000002371892100,4,1,43830.0,0.287,63,0.174837,нет,Запросить исходящие переводы от gid 100000002371892100 за следующий шаг; оценка скрытого выхода 29%.
203,100000007867364100,4,1,41852.0,0.287,18,0.17436,нет,Запросить исходящие переводы от gid 100000007867364100 за следующий шаг; оценка скрытого выхода 29%.
204,100000006490615100,4,1,41600.0,0.287,14,0.210489,5 входов у порога 5–10 тыс.,Запросить исходящие переводы от gid 100000006490615100 за следующий шаг; оценка скрытого выхода 29%.
205,100000008680061100,4,1,41300.0,0.287,6,0.174144,нет,Запросить исходящие переводы от gid 100000008680061100 за следующий шаг; оценка скрытого выхода 29%.
206,100000008331280100,4,1,41000.0,0.287,28,0.173992,нет,Запросить исходящие переводы от gid 100000008331280100 за следующий шаг; оценка скрытого выхода 29%.
207,100000004890713100,4,1,40485.0,0.287,8,0.209925,нет,Запросить исходящие переводы от gid 100000004890713100 за следующий шаг; оценка скрытого выхода 29%.
208,100000001220124100,4,1,40000.0,0.287,7,0.209448,нет,Запросить исходящие переводы от gid 100000001220124100 за следующий шаг; оценка скрытого выхода 29%.
209,100000003091142100,4,1,40000.0,0.287,1,0.209448,нет,Запросить исходящие переводы от gid 100000003091142100 за следующий шаг; оценка скрытого выхода 29%.
210,100000003289281100,4,1,40000.0,0.287,1,0.173233,нет,Запросить исходящие переводы от gid 100000003289281100 за следующий шаг; оценка скрытого выхода 29%.
211,100000005636951100,4,1,40000.0,0.287,9,0.173233,нет,Запросить исходящие переводы от gid 100000005636951100 за следующий шаг; оценка скрытого выхода 29%.
212,100000006351075100,4,1,40000.0,0.287,42,0.209448,нет,Запросить исходящие переводы от gid 100000006351075100 за следующий шаг; оценка скрытого выхода 29%.
213,100000004979264100,4,1,39800.0,0.287,3,0.172842,нет,Запросить исходящие переводы от gid 100000004979264100 за следующий шаг; оценка скрытого выхода 29%.
214,100000005079473100,4,1,39312.0,0.287,7,0.172582,нет,Запросить исходящие переводы от gid 100000005079473100 за следующий шаг; оценка скрытого выхода 29%.
215,100000002700161100,4,1,39000.0,0.287,52,0.17243,нет,Запросить исходящие переводы от gid 100000002700161100 за следующий шаг; оценка скрытого выхода 29%.
216,100000002188586100,4,1,38310.0,0.287,8,0.208451,нет,Запросить исходящие переводы от gid 100000002188586100 за следующий шаг; оценка скрытого выхода 29%.
217,100000006706519100,4,1,36000.0,0.287,1,0.207475,нет,Запросить исходящие переводы от gid 100000006706519100 за следующий шаг; оценка скрытого выхода 29%.
218,100000007960337100,4,1,35500.0,0.287,7,0.224238,нет,Запросить исходящие переводы от gid 100000007960337100 за следующий шаг; оценка скрытого выхода 29%.
219,100000000737152100,4,1,35000.0,0.287,1,0.223848,нет,Запросить исходящие переводы от gid 100000000737152100 за следующий шаг; оценка скрытого выхода 29%.
220,100000004911971100,4,1,35000.0,0.287,37,0.223848,нет,Запросить исходящие переводы от gid 100000004911971100 за следующий шаг; оценка скрытого выхода 29%.
221,100000005723580100,4,1,35000.0,0.287,3,0.170544,нет,Запросить исходящие переводы от gid 100000005723580100 за следующий шаг; оценка скрытого выхода 29%.
222,100000008745676100,4,1,34547.0,0.287,2,0.170153,нет,Запросить исходящие переводы от gid 100000008745676100 за следующий шаг; оценка скрытого выхода 29%.
223,100000002478829100,4,1,34000.0,0.287,23,0.206022,нет,Запросить исходящие переводы от gid 100000002478829100 за следующий шаг; оценка скрытого выхода 29%.
224,100000008638859100,4,1,34000.0,0.287,18,0.233606,нет,Запросить исходящие переводы от gid 100000008638859100 за следующий шаг; оценка скрытого выхода 29%.
225,100000004526651100,4,1,33000.0,0.287,3,0.205501,нет,Запросить исходящие переводы от gid 100000004526651100 за следующий шаг; оценка скрытого выхода 29%.
226,100000000470237100,4,1,32500.0,0.287,29,0.169134,нет,Запросить исходящие переводы от gid 100000000470237100 за следующий шаг; оценка скрытого выхода 29%.
227,100000008715513100,4,1,32500.0,0.287,19,0.169134,нет,Запросить исходящие переводы от gid 100000008715513100 за следующий шаг; оценка скрытого выхода 29%.
228,100000008734279100,4,1,31650.0,0.287,7,0.168722,нет,Запросить исходящие переводы от gid 100000008734279100 за следующий шаг; оценка скрытого выхода 29%.
229,100000002702968100,4,1,31600.0,0.287,8,0.204894,нет,Запросить исходящие переводы от gid 100000002702968100 за следующий шаг; оценка скрытого выхода 29%.
230,100000002670463100,4,1,31500.0,0.287,19,0.168592,нет,Запросить исходящие переводы от gid 100000002670463100 за следующий шаг; оценка скрытого выхода 29%.
231,100000004797167100,4,1,31000.0,0.287,21,0.168223,нет,Запросить исходящие переводы от gid 100000004797167100 за следующий шаг; оценка скрытого выхода 29%.
232,100000002660298100,4,1,30900.0,0.287,8,0.204374,нет,Запросить исходящие переводы от gid 100000002660298100 за следующий шаг; оценка скрытого выхода 29%.
233,100000006288612100,4,1,30805.0,0.287,13,0.168071,нет,Запросить исходящие переводы от gid 100000006288612100 за следующий шаг; оценка скрытого выхода 29%.
234,100000000608031100,4,1,30000.0,0.287,17,0.166987,нет,Запросить исходящие переводы от gid 100000000608031100 за следующий шаг; оценка скрытого выхода 29%.
235,100000002723674100,4,1,30000.0,0.287,23,0.166987,нет,Запросить исходящие переводы от gid 100000002723674100 за следующий шаг; оценка скрытого выхода 29%.
236,100000003001138100,4,1,30000.0,0.287,29,0.166987,нет,Запросить исходящие переводы от gid 100000003001138100 за следующий шаг; оценка скрытого выхода 29%.
237,100000004047887100,4,1,30000.0,0.287,40,0.220291,нет,Запросить исходящие переводы от gid 100000004047887100 за следующий шаг; оценка скрытого выхода 29%.
238,100000004596284100,4,1,30000.0,0.287,5,0.166987,нет,Запросить исходящие переводы от gid 100000004596284100 за следующий шаг; оценка скрытого выхода 29%.
239,100000005621418100,4,1,30000.0,0.287,28,0.166987,нет,Запросить исходящие переводы от gid 100000005621418100 за следующий шаг; оценка скрытого выхода 29%.
240,100000006416061100,4,1,30000.0,0.287,1,0.166987,нет,Запросить исходящие переводы от gid 100000006416061100 за следующий шаг; оценка скрытого выхода 29%.
241,100000008151098100,4,1,30000.0,0.287,28,0.166987,нет,Запросить исходящие переводы от gid 100000008151098100 за следующий шаг; оценка скрытого выхода 29%.
242,100000008727982100,4,1,30000.0,0.287,9,0.166987,нет,Запросить исходящие переводы от gid 100000008727982100 за следующий шаг; оценка скрытого выхода 29%.
243,100000003040087100,4,1,29000.0,0.287,8,0.20201,нет,Запросить исходящие переводы от gid 100000003040087100 за следующий шаг; оценка скрытого выхода 29%.
244,100000001270470100,4,1,28300.0,0.287,1,0.201576,нет,Запросить исходящие переводы от gid 100000001270470100 за следующий шаг; оценка скрытого выхода 29%.
245,100000002506987100,4,1,28200.0,0.287,8,0.201468,нет,Запросить исходящие переводы от gid 100000002506987100 за следующий шаг; оценка скрытого выхода 29%.
246,100000004241142100,4,1,27102.0,0.287,1,0.201121,нет,Запросить исходящие переводы от gid 100000004241142100 за следующий шаг; оценка скрытого выхода 29%.
247,100000003486846100,4,1,27000.0,0.287,5,0.164688,нет,Запросить исходящие переводы от gid 100000003486846100 за следующий шаг; оценка скрытого выхода 29%.
248,100000004788983100,4,1,27000.0,0.287,1,0.200904,нет,Запросить исходящие переводы от gid 100000004788983100 за следующий шаг; оценка скрытого выхода 29%.
249,100000005685783100,4,1,26150.0,0.287,2,0.163626,нет,Запросить исходящие переводы от gid 100000005685783100 за следующий шаг; оценка скрытого выхода 29%.
250,100000005589319100,4,1,26000.0,0.287,4,0.163236,нет,Запросить исходящие переводы от gid 100000005589319100 за следующий шаг; оценка скрытого выхода 29%.
251,100000000404740100,4,1,25000.0,0.287,27,0.161891,нет,Запросить исходящие переводы от gid 100000000404740100 за следующий шаг; оценка скрытого выхода 29%.
252,100000001598625100,4,1,25000.0,0.287,7,0.161891,нет,Запросить исходящие переводы от gid 100000001598625100 за следующий шаг; оценка скрытого выхода 29%.
253,100000002229615100,4,1,25000.0,0.287,23,0.198107,нет,Запросить исходящие переводы от gid 100000002229615100 за следующий шаг; оценка скрытого выхода 29%.
254,100000002369454100,4,1,25000.0,0.287,7,0.161891,нет,Запросить исходящие переводы от gid 100000002369454100 за следующий шаг; оценка скрытого выхода 29%.
255,100000004291663100,4,1,25000.0,0.287,1,0.198107,нет,Запросить исходящие переводы от gid 100000004291663100 за следующий шаг; оценка скрытого выхода 29%.
256,100000008588665100,4,1,25000.0,0.287,1,0.198107,нет,Запросить исходящие переводы от gid 100000008588665100 за следующий шаг; оценка скрытого выхода 29%.
257,100000008071749100,4,1,24943.0,0.287,8,0.197391,нет,Запросить исходящие переводы от gid 100000008071749100 за следующий шаг; оценка скрытого выхода 29%.
258,100000000634341100,4,1,24000.0,0.287,1,0.160416,нет,Запросить исходящие переводы от gid 100000000634341100 за следующий шаг; оценка скрытого выхода 29%.
259,100000004655046100,4,1,24000.0,0.287,8,0.160416,нет,Запросить исходящие переводы от gid 100000004655046100 за следующий шаг; оценка скрытого выхода 29%.
260,100000005497148100,4,1,24000.0,0.287,6,0.21372,нет,Запросить исходящие переводы от gid 100000005497148100 за следующий шаг; оценка скрытого выхода 29%.
261,100000003173783100,4,1,23500.0,0.287,31,0.159375,нет,Запросить исходящие переводы от gid 100000003173783100 за следующий шаг; оценка скрытого выхода 29%.
262,100000008130868100,4,1,22782.0,0.287,10,0.158616,нет,Запросить исходящие переводы от gid 100000008130868100 за следующий шаг; оценка скрытого выхода 29%.
263,100000004400480100,4,1,21700.0,0.287,10,0.157836,нет,Запросить исходящие переводы от gid 100000004400480100 за следующий шаг; оценка скрытого выхода 29%.
264,100000000581662100,4,1,21160.0,0.287,10,0.157575,нет,Запросить исходящие переводы от gid 100000000581662100 за следующий шаг; оценка скрытого выхода 29%.
265,100000003500764100,4,1,21000.0,0.287,17,0.210663,нет,Запросить исходящие переводы от gid 100000003500764100 за следующий шаг; оценка скрытого выхода 29%.
266,100000004908173100,4,1,21000.0,0.287,3,0.157359,нет,Запросить исходящие переводы от gid 100000004908173100 за следующий шаг; оценка скрытого выхода 29%.
267,100000001991973100,4,1,20800.0,0.287,19,0.157098,нет,Запросить исходящие переводы от gid 100000001991973100 за следующий шаг; оценка скрытого выхода 29%.
268,100000001286703100,4,1,20500.0,0.287,40,0.210272,нет,Запросить исходящие переводы от gid 100000001286703100 за следующий шаг; оценка скрытого выхода 29%.
269,100000000673915100,4,1,20200.0,0.287,37,0.210121,нет,Запросить исходящие переводы от gid 100000000673915100 за следующий шаг; оценка скрытого выхода 29%.
270,100000004616845100,4,1,20200.0,0.287,58,0.156816,нет,Запросить исходящие переводы от gid 100000004616845100 за следующий шаг; оценка скрытого выхода 29%.
271,100000000500040100,4,1,20000.0,0.287,1,0.191731,нет,Запросить исходящие переводы от gid 100000000500040100 за следующий шаг; оценка скрытого выхода 29%.
272,100000000655469100,4,1,20000.0,0.287,23,0.191731,нет,Запросить исходящие переводы от gid 100000000655469100 за следующий шаг; оценка скрытого выхода 29%.
273,100000001275557100,4,1,20000.0,0.287,24,0.155515,нет,Запросить исходящие переводы от gid 100000001275557100 за следующий шаг; оценка скрытого выхода 29%.
274,100000001845505100,4,1,20000.0,0.287,7,0.191731,нет,Запросить исходящие переводы от gid 100000001845505100 за следующий шаг; оценка скрытого выхода 29%.
275,100000002227989100,4,1,20000.0,0.287,23,0.155515,нет,Запросить исходящие переводы от gid 100000002227989100 за следующий шаг; оценка скрытого выхода 29%.
276,100000002305477100,4,1,20000.0,0.287,23,0.155515,нет,Запросить исходящие переводы от gid 100000002305477100 за следующий шаг; оценка скрытого выхода 29%.
277,100000002748511100,4,1,20000.0,0.287,5,0.155515,нет,Запросить исходящие переводы от gid 100000002748511100 за следующий шаг; оценка скрытого выхода 29%.
278,100000003177533100,4,1,20000.0,0.287,7,0.155515,нет,Запросить исходящие переводы от gid 100000003177533100 за следующий шаг; оценка скрытого выхода 29%.
279,100000003370425100,4,1,20000.0,0.287,14,0.219315,нет,Запросить исходящие переводы от gid 100000003370425100 за следующий шаг; оценка скрытого выхода 29%.
280,100000004070530100,4,1,20000.0,0.287,40,0.208819,нет,Запросить исходящие переводы от gid 100000004070530100 за следующий шаг; оценка скрытого выхода 29%.
281,100000004350094100,4,1,20000.0,0.287,18,0.155515,нет,Запросить исходящие переводы от gid 100000004350094100 за следующий шаг; оценка скрытого выхода 29%.
282,100000004571634100,4,1,20000.0,0.287,12,0.155515,нет,Запросить исходящие переводы от gid 100000004571634100 за следующий шаг; оценка скрытого выхода 29%.
283,100000004674178100,4,1,20000.0,0.287,27,0.155515,нет,Запросить исходящие переводы от gid 100000004674178100 за следующий шаг; оценка скрытого выхода 29%.
284,100000004791226100,4,1,20000.0,0.287,1,0.191731,нет,Запросить исходящие переводы от gid 100000004791226100 за следующий шаг; оценка скрытого выхода 29%.
285,100000004856746100,4,1,20000.0,0.287,35,0.155515,нет,Запросить исходящие переводы от gid 100000004856746100 за следующий шаг; оценка скрытого выхода 29%.
286,100000004988240100,4,1,20000.0,0.287,1,0.191731,нет,Запросить исходящие переводы от gid 100000004988240100 за следующий шаг; оценка скрытого выхода 29%.
287,100000005087923100,4,1,20000.0,0.287,9,0.155515,нет,Запросить исходящие переводы от gid 100000005087923100 за следующий шаг; оценка скрытого выхода 29%.
288,100000006512787100,4,1,20000.0,0.287,1,0.191731,нет,Запросить исходящие переводы от gid 100000006512787100 за следующий шаг; оценка скрытого выхода 29%.
289,100000006918814100,4,1,20000.0,0.287,4,0.155515,нет,Запросить исходящие переводы от gid 100000006918814100 за следующий шаг; оценка скрытого выхода 29%.
290,100000007988344100,4,1,20000.0,0.287,1,0.191731,3 входов у порога 5–10 тыс.,Запросить исходящие переводы от gid 100000007988344100 за следующий шаг; оценка скрытого выхода 29%.
291,100000008471634100,4,1,20000.0,0.287,27,0.155515,нет,Запросить исходящие переводы от gid 100000008471634100 за следующий шаг; оценка скрытого выхода 29%.
292,100000008629504100,4,1,20000.0,0.287,1,0.155515,нет,Запросить исходящие переводы от gid 100000008629504100 за следующий шаг; оценка скрытого выхода 29%.
293,100000001130553100,4,1,18000.0,0.287,6,0.20626,нет,Запросить исходящие переводы от gid 100000001130553100 за следующий шаг; оценка скрытого выхода 29%.
294,100000002723439100,4,1,18000.0,0.287,34,0.152956,нет,Запросить исходящие переводы от gid 100000002723439100 за следующий шаг; оценка скрытого выхода 29%.
295,100000002748040100,4,1,18000.0,0.287,8,0.189172,нет,Запросить исходящие переводы от gid 100000002748040100 за следующий шаг; оценка скрытого выхода 29%.
296,100000008461217100,4,1,18000.0,0.287,52,0.152956,нет,Запросить исходящие переводы от gid 100000008461217100 за следующий шаг; оценка скрытого выхода 29%.
297,100000002514975100,4,1,17920.0,0.287,28,0.152544,нет,Запросить исходящие переводы от gid 100000002514975100 за следующий шаг; оценка скрытого выхода 29%.
298,100000004041294100,4,1,17800.0,0.287,27,0.152458,нет,Запросить исходящие переводы от gid 100000004041294100 за следующий шаг; оценка скрытого выхода 29%.
299,100000005226217100,4,1,17500.0,0.287,3,0.188044,нет,Запросить исходящие переводы от gid 100000005226217100 за следующий шаг; оценка скрытого выхода 29%.
300,100000005553088100,4,1,17500.0,0.287,7,0.151829,нет,Запросить исходящие переводы от gid 100000005553088100 за следующий шаг; оценка скрытого выхода 29%.
301,100000001249054100,4,1,17375.0,0.287,8,0.187892,нет,Запросить исходящие переводы от gid 100000001249054100 за следующий шаг; оценка скрытого выхода 29%.
302,100000003010908100,4,1,17000.0,0.287,8,0.150896,нет,Запросить исходящие переводы от gid 100000003010908100 за следующий шаг; оценка скрытого выхода 29%.
303,100000008759795100,4,1,17000.0,0.287,19,0.150896,нет,Запросить исходящие переводы от gid 100000008759795100 за следующий шаг; оценка скрытого выхода 29%.
304,100000000981693100,4,1,16500.0,0.287,1,0.186721,нет,Запросить исходящие переводы от gid 100000000981693100 за следующий шаг; оценка скрытого выхода 29%.
305,100000006866831100,4,1,16500.0,0.287,1,0.150506,нет,Запросить исходящие переводы от gid 100000006866831100 за следующий шаг; оценка скрытого выхода 29%.
306,100000003096787100,4,1,16400.0,0.287,8,0.186548,нет,Запросить исходящие переводы от gid 100000003096787100 за следующий шаг; оценка скрытого выхода 29%.
307,100000001065481100,4,1,16000.0,0.287,14,0.150007,нет,Запросить исходящие переводы от gid 100000001065481100 за следующий шаг; оценка скрытого выхода 29%.
308,100000006491963100,4,1,16000.0,0.287,19,0.150007,3 входов у порога 5–10 тыс.,Запросить исходящие переводы от gid 100000006491963100 за следующий шаг; оценка скрытого выхода 29%.
309,100000007653094100,4,1,16000.0,0.287,14,0.213807,нет,Запросить исходящие переводы от gid 100000007653094100 за следующий шаг; оценка скрытого выхода 29%.
310,100000002528978100,4,1,15900.0,0.287,8,0.185984,нет,Запросить исходящие переводы от gid 100000002528978100 за следующий шаг; оценка скрытого выхода 29%.
311,100000004222274100,4,1,15500.0,0.287,1,0.149053,нет,Запросить исходящие переводы от gid 100000004222274100 за следующий шаг; оценка скрытого выхода 29%.
312,100000002733083100,4,1,15200.0,0.287,8,0.185052,нет,Запросить исходящие переводы от gid 100000002733083100 за следующий шаг; оценка скрытого выхода 29%.
313,100000000424935100,4,1,15000.0,0.287,29,0.148077,нет,Запросить исходящие переводы от gid 100000000424935100 за следующий шаг; оценка скрытого выхода 29%.
314,100000002231144100,4,1,15000.0,0.287,23,0.148077,нет,Запросить исходящие переводы от gid 100000002231144100 за следующий шаг; оценка скрытого выхода 29%.
315,100000002304943100,4,1,15000.0,0.287,23,0.148077,нет,Запросить исходящие переводы от gid 100000002304943100 за следующий шаг; оценка скрытого выхода 29%.
316,100000002653187100,4,1,15000.0,0.287,13,0.148077,нет,Запросить исходящие переводы от gid 100000002653187100 за следующий шаг; оценка скрытого выхода 29%.
317,100000002707106100,4,1,15000.0,0.287,15,0.148077,нет,Запросить исходящие переводы от gid 100000002707106100 за следующий шаг; оценка скрытого выхода 29%.
318,100000003083865100,4,1,15000.0,0.287,8,0.184293,нет,Запросить исходящие переводы от gid 100000003083865100 за следующий шаг; оценка скрытого выхода 29%.
319,100000003166017100,4,1,15000.0,0.287,8,0.184293,нет,Запросить исходящие переводы от gid 100000003166017100 за следующий шаг; оценка скрытого выхода 29%.
320,100000003622955100,4,1,15000.0,0.287,12,0.184293,нет,Запросить исходящие переводы от gid 100000003622955100 за следующий шаг; оценка скрытого выхода 29%.
321,100000004379306100,4,1,15000.0,0.287,7,0.148077,нет,Запросить исходящие переводы от gid 100000004379306100 за следующий шаг; оценка скрытого выхода 29%.
322,100000004674389100,4,1,15000.0,0.287,12,0.148077,нет,Запросить исходящие переводы от gid 100000004674389100 за следующий шаг; оценка скрытого выхода 29%.
323,100000006412162100,4,1,15000.0,0.287,19,0.148077,нет,Запросить исходящие переводы от gid 100000006412162100 за следующий шаг; оценка скрытого выхода 29%.
324,100000008524903100,4,1,15000.0,0.287,1,0.184293,нет,Запросить исходящие переводы от gid 100000008524903100 за следующий шаг; оценка скрытого выхода 29%.
325,100000005495211100,4,1,14500.0,0.287,1,0.183252,нет,Запросить исходящие переводы от gid 100000005495211100 за следующий шаг; оценка скрытого выхода 29%.
326,100000008525136100,4,1,14100.0,0.287,1,0.200123,нет,Запросить исходящие переводы от gid 100000008525136100 за следующий шаг; оценка скрытого выхода 29%.
327,100000003078839100,4,1,14000.0,0.287,7,0.146537,нет,Запросить исходящие переводы от gid 100000003078839100 за следующий шаг; оценка скрытого выхода 29%.
328,100000005782886100,4,1,14000.0,0.287,3,0.182753,нет,Запросить исходящие переводы от gid 100000005782886100 за следующий шаг; оценка скрытого выхода 29%.
329,100000008554390100,4,1,14000.0,0.287,19,0.146537,нет,Запросить исходящие переводы от gid 100000008554390100 за следующий шаг; оценка скрытого выхода 29%.
330,100000008710913100,4,1,14000.0,0.287,3,0.182753,нет,Запросить исходящие переводы от gid 100000008710913100 за следующий шаг; оценка скрытого выхода 29%.
331,100000004502048100,4,1,13888.0,0.287,18,0.146255,нет,Запросить исходящие переводы от gid 100000004502048100 за следующий шаг; оценка скрытого выхода 29%.
332,100000002320495100,4,1,13526.27,0.287,17,0.146125,нет,Запросить исходящие переводы от gid 100000002320495100 за следующий шаг; оценка скрытого выхода 29%.
333,100000008677368100,4,1,13500.0,0.287,11,0.146082,нет,Запросить исходящие переводы от gid 100000008677368100 за следующий шаг; оценка скрытого выхода 29%.
334,100000004167082100,4,1,13300.0,0.287,14,0.182167,нет,Запросить исходящие переводы от gid 100000004167082100 за следующий шаг; оценка скрытого выхода 29%.
335,100000004691350100,4,1,13300.0,0.287,51,0.145952,нет,Запросить исходящие переводы от gid 100000004691350100 за следующий шаг; оценка скрытого выхода 29%.
336,100000001089055100,4,1,13000.0,0.287,17,0.145561,нет,Запросить исходящие переводы от gid 100000001089055100 за следующий шаг; оценка скрытого выхода 29%.
337,100000005849862100,4,1,13000.0,0.287,11,0.145561,нет,Запросить исходящие переводы от gid 100000005849862100 за следующий шаг; оценка скрытого выхода 29%.
338,100000007997939100,4,1,13000.0,0.287,3,0.181777,нет,Запросить исходящие переводы от gid 100000007997939100 за следующий шаг; оценка скрытого выхода 29%.
339,100000008631800100,4,1,12850.0,0.287,19,0.145345,нет,Запросить исходящие переводы от gid 100000008631800100 за следующий шаг; оценка скрытого выхода 29%.
340,100000002832753100,4,1,12500.0,0.287,16,0.145084,нет,Запросить исходящие переводы от gid 100000002832753100 за следующий шаг; оценка скрытого выхода 29%.
341,100000004232712100,4,1,12500.0,0.287,6,0.198388,нет,Запросить исходящие переводы от gid 100000004232712100 за следующий шаг; оценка скрытого выхода 29%.
342,100000004386286100,4,1,12500.0,0.287,13,0.1813,нет,Запросить исходящие переводы от gid 100000004386286100 за следующий шаг; оценка скрытого выхода 29%.
343,100000003047800100,4,1,12212.0,0.287,10,0.144694,нет,Запросить исходящие переводы от gid 100000003047800100 за следующий шаг; оценка скрытого выхода 29%.
344,100000002645046100,4,1,12000.0,0.287,19,0.14426,нет,Запросить исходящие переводы от gid 100000002645046100 за следующий шаг; оценка скрытого выхода 29%.
345,100000002876914100,4,1,12000.0,0.287,19,0.14426,нет,Запросить исходящие переводы от gid 100000002876914100 за следующий шаг; оценка скрытого выхода 29%.
346,100000004780327100,4,1,12000.0,0.287,19,0.14426,нет,Запросить исходящие переводы от gid 100000004780327100 за следующий шаг; оценка скрытого выхода 29%.
